"Donors","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
Austria,0,0,0,0,0,0,0,369.38931,273.292526,382.613755,1242.920853,1103.055282,1352.248121,1283.442658,520.242331,616.960346,494.441029,0
Belgium,0,0,0,0,0,0,0,791.788709,1525.955379,975.534806,1328.997022,1418.222492,1317.026508,1482.655783,1663.384952,2126.407083,1990.650632,0
Canada,0,0,0,0,0,0,0,574.733897,884.013079,1746.565904,2160.229379,1952.446793,2273.155105,3270.073789,3181.543543,3969.642495,4158.019494,0
Denmark,0,0,0,0,0,0,0,0,470.383479,722.362718,785.360323,1056.360455,1443.05056,1479.156652,1666.306555,2185.055945,2213.751028,0
Finland,0,0,0,0,0,0,0,236.909875,309.230337,12.435477,9.65026,481.084344,584.054801,695.108227,786.232377,839.076689,859.340679,0
France,0,0,0,0,0,0,0,3980.254557,6143.17864,5742.969448,8307.587935,8740.847282,7624.616282,7939.068453,8429.578642,9148.323588,9392.819834,0
Germany,0,0,0,0,0,0,0,4113.268922,5266.345843,5205.94117,9115.06544,8649.152058,9347.148357,11043.05939,8359.518039,9436.608434,10239.54848,0
Greece,0,0,0,0,0,0,0,106.965508,228.262016,166.788435,206.640368,197.409411,247.817293,312.699496,296.944844,211.819822,153.897317,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.051317,0
Ireland,0,0,0,0,0,0,0,267.077508,324.909281,409.712689,482.673815,632.606726,826.397154,930.601573,697.068766,587.042498,606.709623,0
Italy,0,0,0,0,0,0,0,859.515942,1292.959387,792.1311,2371.736184,2346.871821,1570.272182,2062.003634,1051.467808,975.882617,2092.664835,0
Japan,0,0,0,0,0,0,0,6871.613418,9712.483863,12510.15532,15067.18125,12888.3807,11463.7797,14697.06058,12995.83903,15144.1787,15638.74436,0
Korea,0,0,0,0,0,0,0,151.961631,0,0,0,401.36913,525.481709,578.673395,615.28579,933.239968,1038.165297,0
Luxembourg,0,0,0,0,0,0,0,12.52,16.7,156.542104,219.001261,198.323257,252.832328,278.655012,265.303496,300.35343,280.976747,0
Netherlands,0,0,0,0,0,0,0,3011.069642,3081.29332,3366.38174,3872.06495,4719.722493,4813.3104,5489.317,4957.26354,4952.119973,4550.799805,0
New Zealand,0,0,0,0,0,0,0,71.002178,103.974255,149.76426,217.207908,196.799298,237.504187,271.865568,224.333558,271.226345,333.262443,0
Norway,0,0,0,0,0,0,0,1029.725885,1388.964043,1436.718121,2054.908833,2194.415806,2889.529857,3078.067214,3163.619211,3352.935316,3561.590277,0
Portugal,0,0,0,0,0,0,0,172.713585,173.539975,876.439683,251.245806,215.954813,282.852536,383.31436,312.477833,431.82802,515.17241,0
Spain,0,0,0,0,0,0,0,1070.016469,1345.367221,1547.582486,1980.652455,2287.176298,3544.504117,5411.285162,4739.727922,4389.805311,2578.609342,0
Sweden,0,0,0,0,0,0,0,1016.7992,1750.901776,2051.312695,1913.810329,2821.766003,2924.478988,3145.719938,3028.167372,2928.612621,3694.177194,0
Switzerland,0,0,0,0,0,0,0,723.169963,1021.460969,1259.987124,1476.88017,1264.616182,1274.687444,1561.848441,1760.602026,1728.230999,2401.303319,0
United Kingdom,0,0,0,0,0,0,0,2678.28866,2728.285539,4082.407646,7185.92702,8258.687311,7357.332423,7847.399986,7710.437399,8364.442088,8773.06391,0
United States,0,0,0,0,0,0,0,12899.785,16453.339,17122.012,26381.113,22144.724,19794.80589,24422.13334,25526.93832,27384.67995,28278.10173,0
